GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017,respop72018
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017,Population Estimate (as of July 1) - 2018
0500000US29001,29001,"Adair County, Missouri",25607,25604,25623,25652,25671,25701,25516,25307,25155,25306,25339
0500000US29003,29003,"Andrew County, Missouri",17291,17297,17348,17201,17313,17309,17283,17318,17357,17449,17607
0500000US29005,29005,"Atchison County, Missouri",5685,5685,5658,5573,5513,5422,5358,5293,5279,5248,5171
0500000US29007,29007,"Audrain County, Missouri",25529,25529,25451,25529,25530,25544,25815,25937,25848,25600,25473
0500000US29009,29009,"Barry County, Missouri",35597,35603,35559,35349,35334,35334,35324,35310,35261,35686,35886
0500000US29011,29011,"Barton County, Missouri",12402,12400,12387,12345,12297,12178,11984,11829,11828,11809,11798
0500000US29013,29013,"Bates County, Missouri",17049,17049,17034,16968,16620,16432,16519,16367,16355,16310,16320
0500000US29015,29015,"Benton County, Missouri",19056,19056,19095,19028,18987,18939,18876,18788,18933,19068,19278
0500000US29017,29017,"Bollinger County, Missouri",12363,12363,12347,12380,12446,12486,12420,12320,12210,12286,12169
0500000US29019,29019,"Boone County, Missouri",162642,162645,163194,166231,168789,170966,172795,174585,176667,178523,180005
0500000US29021,29021,"Buchanan County, Missouri",89201,89190,89070,89713,89917,89820,89595,89157,89162,88894,88571
0500000US29023,29023,"Butler County, Missouri",42794,42794,42788,42988,42988,42965,42851,42816,42748,42609,42639
0500000US29025,29025,"Caldwell County, Missouri",9424,9424,9434,9283,9093,9045,9004,9009,9050,9072,9108
0500000US29027,29027,"Callaway County, Missouri",44332,44334,44312,44299,44395,44531,44631,44686,45051,44944,44889
0500000US29029,29029,"Camden County, Missouri",44002,44017,44079,43819,44194,44291,44551,44743,44923,45449,45815
0500000US29031,29031,"Cape Girardeau County, Missouri",75674,75673,75896,76599,77043,77453,77906,78233,78441,78285,78753
0500000US29033,29033,"Carroll County, Missouri",9295,9295,9283,9253,9080,9057,8958,8879,8843,8794,8743
0500000US29035,29035,"Carter County, Missouri",6265,6265,6292,6329,6270,6339,6282,6276,6206,6167,6054
0500000US29037,29037,"Cass County, Missouri",99478,99505,99757,99992,100429,100675,100833,101348,102645,103610,104954
0500000US29039,29039,"Cedar County, Missouri",13982,13982,13969,13911,13908,13774,13783,13783,13877,14081,14165
0500000US29041,29041,"Chariton County, Missouri",7831,7830,7850,7756,7690,7651,7687,7595,7520,7478,7451
0500000US29043,29043,"Christian County, Missouri",77422,77417,77844,78642,79656,80622,81822,83065,84160,85346,86983
0500000US29045,29045,"Clark County, Missouri",7139,7129,7135,7024,6965,6897,6886,6808,6739,6727,6842
0500000US29047,29047,"Clay County, Missouri",221939,221943,222683,225249,227594,230328,233045,235197,238618,242593,246365
0500000US29049,29049,"Clinton County, Missouri",20743,20743,20740,20676,20558,20561,20258,20568,20527,20553,20470
0500000US29051,29051,"Cole County, Missouri",75990,75975,76146,76483,76470,76715,76651,76839,76743,76669,76796
0500000US29053,29053,"Cooper County, Missouri",17601,17604,17603,17553,17536,17610,17561,17608,17694,17643,17603
0500000US29055,29055,"Crawford County, Missouri",24696,24703,24614,24795,24763,24513,24615,24488,24243,24095,23957
0500000US29057,29057,"Dade County, Missouri",7883,7882,7842,7768,7561,7535,7599,7577,7606,7601,7569
0500000US29059,29059,"Dallas County, Missouri",16777,16770,16723,16686,16694,16458,16336,16339,16371,16686,16762
0500000US29061,29061,"Daviess County, Missouri",8433,8433,8452,8297,8301,8303,8326,8285,8227,8359,8313
0500000US29063,29063,"DeKalb County, Missouri",12892,12892,12903,12819,12787,12637,12545,12548,12505,12590,12630
0500000US29065,29065,"Dent County, Missouri",15657,15656,15704,15584,15620,15705,15598,15620,15421,15440,15441
0500000US29067,29067,"Douglas County, Missouri",13684,13684,13649,13628,13571,13437,13518,13356,13353,13272,13373
0500000US29069,29069,"Dunklin County, Missouri",31953,31953,31945,32002,31837,31717,31296,30818,30518,30086,29423
0500000US29071,29071,"Franklin County, Missouri",101492,101495,101453,101633,101347,101735,101946,102277,102726,103288,103670
0500000US29073,29073,"Gasconade County, Missouri",15222,15213,15209,15076,14913,14813,14810,14747,14751,14718,14705
0500000US29075,29075,"Gentry County, Missouri",6738,6740,6750,6822,6769,6736,6757,6656,6628,6655,6628
0500000US29077,29077,"Greene County, Missouri",275174,275178,275303,277412,280430,283594,285240,287302,287863,289819,291923
0500000US29079,29079,"Grundy County, Missouri",10261,10261,10254,10251,10331,10347,10182,10026,10104,9970,9914
0500000US29081,29081,"Harrison County, Missouri",8957,8957,8963,8880,8721,8708,8629,8621,8577,8528,8414
0500000US29083,29083,"Henry County, Missouri",22272,22270,22242,22227,22201,22094,22026,21704,21602,21700,21792
0500000US29085,29085,"Hickory County, Missouri",9627,9627,9643,9612,9442,9345,9290,9266,9355,9421,9509
